applied subject,year until now,GPA,current subject,is honor college,GMAT,GRE,english test exempted,TOFEL,IELTS,internship,result
Art History,8,2.13,Engineering - Petroleum,0,0,266.5,1,0,0,0,0
Accounting and Finance,10,3.85,Accounting and Finance,1,0,333.08,0,99.85,0,1,1
Hospitality and Leisure Management,4,2.45,Engineering - Electrical and Electronic,0,382.53,213.8,1,0,0,0,1
Engineering - Mineral and Mining,5,3.72,Engineering - Mineral and Mining,1,0,309.81,1,0,0,1,1
Biological Sciences,5,3.12,Biological Sciences,1,741.23,305.76,0,0,6.62,1,0
English Language and Literature,9,3.07,English Language and Literature,1,0,306.92,1,0,0,1,1
Engineering - Petroleum,4,3.61,Classics and Ancient History,1,760.04,307.95,1,0,0,0,1
Earth and Marine Sciences,5,3.5,Earth and Marine Sciences,1,776.07,310.05,0,0,6.31,1,1
Hospitality and Leisure Management,9,3.88,Hospitality and Leisure Management,1,0,309.98,0,0,8.69,1,1
Chemistry,7,3.65,Chemistry,1,729.64,307.76,0,111.92,7.3,1,1
Materials Sciences,10,3.54,Materials Sciences,1,0,314.97,0,95.38,8.16,1,0
Mathematics,9,3.62,Mathematics,0,0,335.01,0,93.84,7.33,1,1
Philosophy,6,3.42,Philosophy,0,700.67,0,1,0,0,1,1
Engineering - Electrical and Electronic,7,3.28,Biological Sciences,0,563.16,260.42,0,0,6.16,0,1
Art and Design,4,3.72,Art and Design,1,791.95,0,1,0,0,1,1
Anatomy and Physiology,8,3.73,Anatomy and Physiology,0,0,319.16,0,87.62,0,1,1
Linguistics,2,3.33,Linguistics,1,0,316.12,0,0,7.88,1,1
Sociology,9,3.65,Sociology,1,737.71,309.27,1,0,0,1,1
Geology,10,3.97,Geology,1,730.62,0,0,0,8.19,1,1
Biological Sciences,7,3.42,Biological Sciences,1,0,319.36,1,0,0,1,0
Anthropology,5,3.07,Anthropology,1,0,329.54,1,0,0,1,1
Accounting and Finance,4,3.32,Accounting and Finance,1,0,327.21,1,0,0,1,0
English Language and Literature,10,3.84,English Language and Literature,1,0,333.35,1,0,0,1,1
Engineering - Mechanical,4,2.86,Engineering - Petroleum,0,0,199.88,0,0,8.32,0,0
Physics and Astronomy,3,3.01,Physics and Astronomy,0,0,311.75,1,0,0,1,1
Veterinary Science,5,3.36,Veterinary Science,0,0,324.77,0,0,8.98,1,1
Library and Information Management,10,3.11,Library and Information Management,1,0,339.78,0,103.47,8.76,1,1
Archaeology,0,3.34,Social Policy and Administration,1,0,302.33,1,0,0,1,1
Dentistry,7,3.48,Dentistry,1,725.57,0,0,0,8.28,1,0
Engineering - Mineral and Mining,0,3.94,Engineering - Mineral and Mining,1,0,314.59,0,0,8.37,1,0
Philosophy,2,3.24,Philosophy,1,704.13,0,0,0,6.53,0,1
Communication and Media Studies,6,3.7,Engineering - Civil and Structural,1,0,326.05,1,0,0,1,1
Art History,2,3.08,Art History,0,719.86,0,1,0,0,1,1
Law and Legal Studies,2,3.61,Law and Legal Studies,1,737.57,324.79,0,88.15,0,0,1
Law and Legal Studies,3,2.01,Anthropology,1,432.24,0,1,0,0,0,0
Architecture and Built Environment,0,3.02,Education and Training,0,796.74,0,0,0,7.49,1,1
Business and Management Studies,1,3.9,Sociology,1,743.99,0,1,0,0,1,1
Sociology,2,2.02,Modern Languages,0,0,193.75,0,0,8.2,0,0
Social Policy and Administration,6,2.46,Education and Training,0,0,261.79,0,98.24,0,0,0
Engineering - Chemical,5,3.84,Engineering - Chemical,1,716.19,0,1,0,0,1,1
Medicine,10,2.27,Architecture and Built Environment,0,386.01,0,1,0,0,0,0
Geophysics,0,3.46,Geophysics,0,0,328.99,1,0,0,0,1
Philosophy,8,2.45,Dentistry,0,0,208.66,0,0,6.97,1,0
Chemistry,8,3.55,Chemistry,1,0,336.33,1,0,0,1,1
Agriculture and Forestry,7,3.15,Agriculture and Forestry,1,0,334.73,1,0,0,0,1
Physics and Astronomy,6,3.88,Physics and Astronomy,1,0,333.66,1,0,0,1,1
Philosophy,9,3.96,Philosophy,1,794.36,0,0,0,6.49,1,0
Library and Information Management,7,2.25,Biological Sciences,0,0,220.43,0,92.89,0,1,1
Modern Languages,6,3.71,Modern Languages,1,0,333.8,0,94.21,0,1,0
Politics,3,3.49,Politics,1,719.37,326.97,0,0,7.46,1,1
Performing Arts,2,3.59,Geography,1,761.29,319.98,1,0,0,0,1
Art History,1,3.05,Data Science,1,746.12,339.58,1,0,0,1,1
Sports-Related Subjects,5,3.75,Sports-Related Subjects,0,0,336.02,0,111.03,8.65,0,1
Philosophy,8,3.5,Philosophy,0,707.3,0,0,0,7.55,1,1
Materials Sciences,5,3.35,Education and Training,1,0,304.64,0,0,6.54,1,1
Geology,5,3.79,English Language and Literature,0,0,335.18,0,0,8.19,1,0
Computer Science and Information Systems,5,3.07,Computer Science and Information Systems,0,721.0,0,0,84.52,0,1,1
Architecture and Built Environment,4,2.64,Hospitality and Leisure Management,0,0,211.57,1,0,0,0,0
Pharmacy and Pharmacology,2,3.92,Pharmacy and Pharmacology,1,745.7,0,0,0,8.26,1,1
Performing Arts,6,2.68,Veterinary Science,0,0,248.26,1,0,0,0,0
Earth and Marine Sciences,0,2.18,Agriculture and Forestry,0,0,276.48,1,0,0,0,0
Psychology,6,3.99,Psychology,1,0,302.74,0,102.23,0,1,1
Anthropology,8,3.55,Philosophy,1,0,315.37,1,0,0,1,1
Geography,6,3.14,Geography,1,788.86,320.84,1,0,0,1,1
English Language and Literature,8,3.38,English Language and Literature,1,713.3,0,1,0,0,1,1
Development Studies,2,3.16,Agriculture and Forestry,0,0,303.91,1,0,0,1,1
Agriculture and Forestry,5,3.47,Agriculture and Forestry,0,0,324.81,1,0,0,0,1
Earth and Marine Sciences,4,3.51,Earth and Marine Sciences,0,765.56,0,0,0,7.52,1,1
Classics and Ancient History,3,3.16,Classics and Ancient History,1,755.26,0,0,0,6.01,1,1
Accounting and Finance,6,3.03,Earth and Marine Sciences,1,0,240.32,1,0,0,0,1
Earth and Marine Sciences,7,3.11,Economics and Econometrics,1,0,330.28,1,0,0,1,1
Engineering and Technology,10,3.17,Engineering and Technology,1,735.42,331.81,0,99.54,6.65,1,1
Dentistry,5,3.27,Dentistry,1,717.53,0,0,94.41,0,1,1
Psychology,3,3.16,Psychology,1,748.54,0,0,0,8.97,1,1
Engineering - Chemical,4,3.09,Engineering - Chemical,1,0,332.8,0,80.53,6.53,0,1
Engineering and Technology,6,3.9,Engineering and Technology,1,787.24,0,1,0,0,1,0
Physics and Astronomy,6,3.16,Physics and Astronomy,1,719.95,329.73,1,0,0,1,1
Life Sciences and Medicine,2,3.18,Classics and Ancient History,0,345.14,0,0,0,6.46,0,0
Computer Science and Information Systems,4,3.69,Computer Science and Information Systems,1,0,320.93,1,0,0,1,1
Engineering - Chemical,8,3.32,English Language and Literature,0,700.4,331.65,1,0,0,0,1
Development Studies,7,3.37,Development Studies,0,731.04,0,0,101.52,0,1,0
Classics and Ancient History,7,3.85,Dentistry,1,773.84,0,1,0,0,1,0
Archaeology,9,3.04,Archaeology,1,704.56,0,0,113.52,0,1,0
Chemistry,8,3.44,Chemistry,1,786.21,0,1,0,0,1,1
Education and Training,7,3.11,Education and Training,1,740.99,0,0,95.89,0,1,0
Marketing,3,3.26,Statistics and Operational Research,0,314.96,0,1,0,0,0,1
Modern Languages,8,3.89,Modern Languages,1,787.41,0,0,0,6.66,0,1
Art History,3,3.41,Art History,0,734.0,0,1,0,0,1,0
Biological Sciences,0,3.77,Biological Sciences,1,702.1,302.24,1,0,0,1,1
History,9,3.32,History,1,0,328.34,0,0,8.01,1,1
Art and Design,4,3.92,Art and Design,0,775.59,0,1,0,0,0,1
Natural Sciences,10,3.38,Natural Sciences,1,0,327.93,1,0,0,1,1
Modern Languages,6,3.43,Modern Languages,1,0,306.49,0,0,6.68,1,0
Business and Management Studies,2,3.47,Business and Management Studies,1,710.05,0,0,112.4,0,1,0
History,0,2.73,Materials Sciences,0,554.06,0,0,96.37,0,1,0
Chemistry,7,3.25,History,1,384.8,0,1,0,0,0,0
Engineering - Petroleum,7,3.82,Engineering - Petroleum,1,0,329.42,0,0,7.91,1,0
Mathematics,2,3.42,Mathematics,1,758.63,0,1,0,0,1,0
Mathematics,1,3.24,Mathematics,1,0,324.68,0,0,6.53,1,1
Pharmacy and Pharmacology,1,3.17,Anthropology,1,642.54,249.49,1,0,0,0,0
Natural Sciences,5,3.71,Natural Sciences,1,0,319.48,1,0,0,0,1
Pharmacy and Pharmacology,5,3.93,Pharmacy and Pharmacology,0,0,315.17,0,0,7.04,1,1
Art History,8,3.69,Art History,0,765.61,0,0,99.49,0,1,1
Education and Training,10,2.06,Materials Sciences,0,0,199.55,0,0,8.72,0,1
Engineering - Civil and Structural,4,3.7,Engineering - Civil and Structural,0,740.37,0,1,0,0,1,0
Social Sciences and Management,1,2.08,Physics and Astronomy,1,0,243.17,0,0,6.02,0,0
Computer Science and Information Systems,7,3.85,Computer Science and Information Systems,1,795.9,334.46,1,0,0,1,1
Pharmacy and Pharmacology,8,2.16,Chemistry,1,408.58,0,0,0,8.84,0,0
Engineering - Civil and Structural,6,3.81,Engineering - Civil and Structural,1,766.45,315.26,0,0,7.81,1,0
Hospitality and Leisure Management,10,3.16,Performing Arts,0,588.07,0,1,0,0,1,0
Linguistics,2,3.85,Linguistics,1,744.6,324.76,0,0,8.12,1,0
Sports-Related Subjects,8,2.33,Life Sciences and Medicine,0,0,243.47,0,99.14,0,0,0
Statistics and Operational Research,4,3.57,Statistics and Operational Research,1,797.54,0,0,116.01,6.28,1,0
Engineering - Petroleum,2,3.33,Engineering - Petroleum,0,0,317.6,1,0,0,1,0
Anthropology,6,3.86,Anthropology,0,784.23,0,0,0,6.7,1,1
Engineering - Electrical and Electronic,7,3.84,Engineering - Electrical and Electronic,0,793.35,0,0,0,7.47,1,1
Art History,3,2.98,Sports-Related Subjects,0,496.16,217.24,1,0,0,0,0
Linguistics,0,3.17,English Language and Literature,0,601.83,0,1,0,0,0,0
Library and Information Management,4,3.95,Library and Information Management,1,0,311.21,0,95.01,0,1,1
Statistics and Operational Research,6,3.45,Engineering and Technology,1,777.05,309.34,1,0,0,1,1
Pharmacy and Pharmacology,10,2.14,Social Sciences and Management,0,521.87,249.46,0,87.97,0,0,1
Life Sciences and Medicine,0,3.68,Life Sciences and Medicine,1,0,336.65,0,85.0,8.41,1,1
Development Studies,3,3.43,Development Studies,1,710.49,0,1,0,0,1,1
Mathematics,8,3.52,Mathematics,1,0,309.58,0,0,6.4,1,1
Engineering - Electrical and Electronic,4,2.18,Classics and Ancient History,0,0,189.18,1,0,0,0,0
Nursing,5,3.68,Medicine,1,733.11,0,1,0,0,1,0
Performing Arts,10,3.58,Performing Arts,0,747.87,0,1,0,0,1,1
Physics and Astronomy,2,3.64,Physics and Astronomy,1,750.64,0,1,0,0,0,1
Education and Training,5,3.53,Education and Training,1,0,304.62,1,0,0,1,1
Engineering - Mechanical,9,3.72,Engineering - Mechanical,1,728.14,0,0,83.65,8.73,1,1
Economics and Econometrics,6,2.46,Art and Design,0,607.26,0,0,0,7.65,0,0
Communication and Media Studies,9,3.11,Art History,0,0,211.91,0,88.52,6.97,0,1
Geography,10,3.9,Geography,0,732.49,315.86,0,119.61,0,1,1
Development Studies,10,3.3,Development Studies,1,0,320.93,0,0,8.02,0,1
Biological Sciences,9,3.71,Biological Sciences,1,0,321.37,1,0,0,0,0
Hospitality and Leisure Management,2,2.28,Politics,1,343.43,0,0,0,8.73,1,0
Sports-Related Subjects,6,3.7,Sports-Related Subjects,1,775.37,0,0,0,7.73,1,1
Pharmacy and Pharmacology,3,3.12,Pharmacy and Pharmacology,1,731.01,313.43,0,0,8.45,1,1
Sports-Related Subjects,4,3.89,Sports-Related Subjects,0,0,332.69,0,0,6.37,1,1
Politics,5,2.75,Politics,0,0,211.59,1,0,0,0,0
Earth and Marine Sciences,5,3.95,Earth and Marine Sciences,1,723.72,0,0,0,7.07,1,1
Nursing,9,3.81,Nursing,1,762.94,0,0,99.56,0,1,1
Physics and Astronomy,3,3.49,Physics and Astronomy,1,711.19,302.79,0,0,7.42,0,1
Sports-Related Subjects,5,3.09,Sports-Related Subjects,1,0,306.01,0,0,6.32,1,1
Art History,1,3.75,Art History,0,710.31,0,1,0,0,1,1
Pharmacy and Pharmacology,7,3.98,Pharmacy and Pharmacology,0,0,308.83,1,0,0,1,1
Sports-Related Subjects,1,3.36,Sports-Related Subjects,1,0,304.46,1,0,0,1,1
Marketing,0,3.6,Marketing,1,749.9,316.22,1,0,0,0,0
Agriculture and Forestry,2,2.54,Chemistry,0,589.62,0,0,84.8,0,0,0
Mathematics,1,3.01,Nursing,0,0,186.72,0,117.16,8.66,0,0
Social Policy and Administration,2,2.54,Politics,0,487.8,0,0,0,7.32,0,1
Hospitality and Leisure Management,4,3.22,Statistics and Operational Research,0,639.56,0,0,0,7.83,0,0
Communication and Media Studies,9,3.6,Anthropology,1,0,312.65,0,0,6.44,1,0
Communication and Media Studies,0,3.69,Communication and Media Studies,1,0,336.41,1,0,0,0,1
Dentistry,9,3.17,Dentistry,1,0,321.36,0,92.85,7.2,1,1
Communication and Media Studies,9,2.88,Environmental Sciences,1,0,217.71,1,0,0,0,0
Pharmacy and Pharmacology,1,2.23,Performing Arts,0,326.09,0,0,115.56,6.87,0,0
Communication and Media Studies,8,3.38,Communication and Media Studies,1,782.53,0,1,0,0,1,0
"Theology, Divinity and Religious Studies",3,2.12,Engineering - Mechanical,0,439.58,265.01,1,0,0,1,0
Veterinary Science,7,3.87,Veterinary Science,0,761.41,0,0,0,8.94,0,1
Anthropology,1,3.65,Anthropology,0,744.79,313.84,1,0,0,0,1
Sociology,8,3.32,Sociology,1,743.53,0,0,104.42,0,0,1
Sports-Related Subjects,7,3.04,Sports-Related Subjects,1,0,307.56,1,0,0,1,1
Performing Arts,8,2.79,Data Science,0,0,251.83,1,0,0,0,0
Archaeology,2,3.02,Life Sciences and Medicine,1,738.51,0,0,115.11,7.64,1,1
Engineering and Technology,10,3.29,Engineering and Technology,1,773.51,0,0,0,7.67,1,0
Sociology,7,3.71,Agriculture and Forestry,1,766.01,0,0,84.94,0,1,1
Agriculture and Forestry,3,3.35,Agriculture and Forestry,1,788.25,0,1,0,0,1,1
Anthropology,0,3.13,Anthropology,1,758.11,0,1,0,0,1,1
Veterinary Science,4,3.53,Veterinary Science,1,756.81,0,1,0,0,1,1
Materials Sciences,7,3.09,Materials Sciences,0,0,310.4,0,0,8.79,1,1
Sociology,6,3.63,Art and Design,1,0,317.69,1,0,0,0,1
Statistics and Operational Research,5,3.89,Statistics and Operational Research,1,793.03,0,0,0,7.34,1,1
Medicine,2,3.18,Medicine,1,0,307.85,1,0,0,0,1
Education and Training,1,3.66,Education and Training,0,730.0,0,0,89.96,0,1,0
Nursing,9,3.92,Nursing,1,0,302.33,0,0,6.01,1,1
Linguistics,9,3.0,Linguistics,1,716.82,0,1,0,0,1,1
Social Policy and Administration,9,3.3,Social Policy and Administration,1,796.57,321.2,1,0,0,1,1
Physics and Astronomy,4,2.86,Physics and Astronomy,0,302.38,191.23,1,0,0,1,0
Data Science,7,3.47,Data Science,1,0,318.03,0,93.53,0,1,1
Marketing,3,3.94,Marketing,1,0,330.87,1,0,0,1,1
Linguistics,8,3.02,Natural Sciences,1,0,308.57,0,0,6.4,1,1
Modern Languages,4,3.18,Modern Languages,1,0,301.88,1,0,0,1,1
Accounting and Finance,5,3.85,Accounting and Finance,1,756.91,318.57,0,0,6.92,1,1
Life Sciences and Medicine,8,3.84,Life Sciences and Medicine,1,787.34,0,0,0,6.53,1,1
Communication and Media Studies,4,3.3,Communication and Media Studies,1,0,316.67,0,0,7.48,1,1
Philosophy,3,3.12,Mathematics,1,706.52,0,1,0,0,1,1
Anthropology,3,3.24,Medicine,0,0,250.14,0,0,6.72,1,0
Library and Information Management,3,3.4,Library and Information Management,1,754.09,0,1,0,0,1,1
Pharmacy and Pharmacology,9,2.03,Anthropology,0,417.54,0,1,0,0,0,0
Economics and Econometrics,8,3.13,Economics and Econometrics,1,0,308.37,0,0,8.4,1,1
Medicine,5,3.14,Medicine,0,709.32,0,0,0,6.08,1,1
Agriculture and Forestry,4,3.85,Agriculture and Forestry,1,774.76,334.24,0,101.41,8.49,1,1
Business and Management Studies,3,3.91,Business and Management Studies,1,0,333.98,1,0,0,1,1
Statistics and Operational Research,6,3.15,Statistics and Operational Research,1,741.92,334.2,0,114.62,0,1,1
Marketing,9,3.35,Marketing,1,0,307.45,0,105.29,0,0,1
Engineering - Electrical and Electronic,0,3.99,Engineering - Electrical and Electronic,1,792.34,0,0,0,6.73,1,0
"Theology, Divinity and Religious Studies",8,3.39,"Theology, Divinity and Religious Studies",1,757.49,313.56,1,0,0,0,1
Performing Arts,3,2.7,Social Sciences and Management,0,0,181.78,0,0,8.07,0,0
English Language and Literature,9,3.86,English Language and Literature,1,745.13,0,0,0,6.44,1,1
Education and Training,4,3.68,Education and Training,1,766.59,301.39,0,0,6.2,1,1
Development Studies,10,2.96,Engineering - Mineral and Mining,0,614.53,0,0,0,7.99,1,0
Data Science,3,3.58,Data Science,0,740.82,0,0,0,8.93,0,0
Engineering - Electrical and Electronic,6,3.89,Geology,0,0,302.86,1,0,0,1,1
Mathematics,3,2.12,Computer Science and Information Systems,0,0,219.68,1,0,0,0,1
Social Policy and Administration,5,3.43,Social Policy and Administration,1,700.26,328.27,1,0,0,0,0
English Language and Literature,5,3.13,English Language and Literature,1,792.66,0,0,111.29,0,1,1
Social Policy and Administration,1,3.91,Social Policy and Administration,0,759.57,333.67,0,0,8.42,1,0
Communication and Media Studies,7,3.65,English Language and Literature,1,0,321.12,1,0,0,1,1
Geology,4,3.1,Geology,1,761.54,313.99,0,117.62,0,1,1
Natural Sciences,3,3.49,Natural Sciences,1,0,316.66,1,0,0,1,1
Engineering - Mineral and Mining,2,3.19,Engineering - Mineral and Mining,0,0,305.76,0,81.96,7.34,1,1
Life Sciences and Medicine,7,3.48,Biological Sciences,1,0,318.64,1,0,0,1,0
Performing Arts,2,3.81,Performing Arts,1,795.73,328.32,1,0,0,1,1
Business and Management Studies,0,3.02,Business and Management Studies,1,0,312.52,1,0,0,1,1
Archaeology,4,3.48,Archaeology,1,0,338.68,0,111.69,0,1,1
Data Science,5,2.13,"Theology, Divinity and Religious Studies",0,0,222.31,1,0,0,0,0
Linguistics,5,3.94,Linguistics,1,0,300.99,1,0,0,1,1
Nursing,1,3.84,Economics and Econometrics,0,786.34,0,0,0,8.35,1,1
Marketing,1,3.57,Marketing,1,0,305.29,0,110.58,0,0,1
Law and Legal Studies,0,3.87,Law and Legal Studies,0,704.5,0,1,0,0,0,1
Veterinary Science,1,3.5,Veterinary Science,1,711.6,327.3,1,0,0,1,0
Engineering - Mechanical,9,3.07,Engineering - Mechanical,1,730.2,312.98,1,0,0,1,0
Sports-Related Subjects,3,3.21,Sports-Related Subjects,0,0,234.47,0,0,7.28,0,0
Engineering - Electrical and Electronic,10,3.91,Engineering - Electrical and Electronic,1,749.86,0,0,0,8.22,1,1
Law and Legal Studies,8,3.1,Law and Legal Studies,1,796.7,313.44,0,108.43,0,0,0
Engineering - Civil and Structural,0,2.63,English Language and Literature,0,0,219.63,0,113.45,6.39,0,0
Economics and Econometrics,2,3.2,Economics and Econometrics,1,0,336.36,0,94.87,0,1,1
Geology,6,2.39,Art and Design,0,354.04,0,0,101.42,0,0,0
Nursing,8,3.99,Nursing,1,714.08,0,0,106.0,0,1,1
Development Studies,2,3.11,Development Studies,1,735.93,326.49,0,101.39,0,1,1
Geophysics,5,3.78,Geophysics,1,0,319.16,1,0,0,1,1
Education and Training,2,2.06,Statistics and Operational Research,0,451.76,0,1,0,0,0,0
Earth and Marine Sciences,0,3.17,Earth and Marine Sciences,1,0,338.38,1,0,0,0,1
Archaeology,6,3.24,Environmental Sciences,0,0,204.83,0,80.47,0,0,0
Statistics and Operational Research,8,3.23,Statistics and Operational Research,1,0,312.22,1,0,0,1,0
Engineering - Mechanical,3,2.82,Classics and Ancient History,0,370.46,243.45,1,0,0,0,0
Engineering - Petroleum,5,3.42,Engineering - Petroleum,1,0,305.64,1,0,0,1,1
English Language and Literature,9,3.88,English Language and Literature,1,0,318.89,0,94.44,8.27,1,1
Development Studies,3,3.48,Development Studies,1,0,339.78,0,0,6.76,1,1
"Theology, Divinity and Religious Studies",4,3.64,"Theology, Divinity and Religious Studies",1,751.23,304.96,1,0,0,1,1
Anatomy and Physiology,1,3.26,Anatomy and Physiology,1,0,319.82,0,86.72,0,1,1
Accounting and Finance,5,3.83,Accounting and Finance,1,0,314.85,1,0,0,1,1
Mathematics,1,2.09,Art History,0,584.6,0,0,112.55,7.38,0,1
Materials Sciences,4,3.9,Materials Sciences,1,775.05,0,0,0,6.85,0,1
Geography,5,3.21,Geography,1,0,305.73,1,0,0,1,1
Archaeology,10,3.85,Archaeology,1,746.57,0,1,0,0,0,1
Archaeology,1,2.12,Arts and Humanities,0,308.39,0,1,0,0,1,0
Accounting and Finance,0,3.87,Accounting and Finance,1,705.33,302.1,1,0,0,1,1
Dentistry,3,3.22,Marketing,1,0,251.57,0,97.59,6.46,0,0
Anthropology,1,3.29,Anthropology,1,0,303.97,0,0,6.23,1,1
Art and Design,9,3.64,Art and Design,1,789.13,0,1,0,0,1,0
Computer Science and Information Systems,8,3.55,Computer Science and Information Systems,1,753.46,0,1,0,0,1,0
Anatomy and Physiology,7,3.2,Anatomy and Physiology,1,764.95,0,0,113.96,0,1,1
Engineering - Electrical and Electronic,4,2.27,Accounting and Finance,0,644.14,258.65,1,0,0,1,0
Geography,3,3.23,Materials Sciences,0,0,218.09,1,0,0,1,0
Business and Management Studies,4,3.32,Linguistics,1,0,321.61,1,0,0,1,1
Computer Science and Information Systems,7,3.21,Computer Science and Information Systems,1,0,311.19,0,113.71,0,1,1
History,4,2.94,Philosophy,0,473.64,0,1,0,0,0,0
Computer Science and Information Systems,8,3.01,Data Science,1,0,332.01,0,0,7.84,1,1
Art and Design,3,3.59,Art and Design,1,0,302.04,1,0,0,1,0
Agriculture and Forestry,1,3.64,Architecture and Built Environment,1,0,310.3,1,0,0,1,1
Engineering - Electrical and Electronic,6,3.34,Engineering - Electrical and Electronic,0,0,301.98,1,0,0,1,1
Anthropology,1,2.5,Linguistics,0,532.14,0,1,0,0,0,0
Education and Training,1,3.83,Anatomy and Physiology,0,0,326.5,1,0,0,0,1
Architecture and Built Environment,0,3.39,Architecture and Built Environment,1,0,322.58,1,0,0,1,0
Art and Design,7,3.79,Art and Design,1,762.53,0,1,0,0,1,1
Sociology,0,2.42,Economics and Econometrics,0,373.52,225.06,0,0,6.72,0,1
"Theology, Divinity and Religious Studies",0,3.83,"Theology, Divinity and Religious Studies",1,714.25,339.03,0,119.04,8.62,0,1
